City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
877,bredasdorp,za,61.25,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
878,bredasdorp,za,61.25,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
879,yulara,au,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
880,warrnambool,au,60.64,overcast clouds,-38.3833,142.4833,Lady Bay Resort
881,zhigansk,ru,0.7,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
882,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
883,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
884,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
885,zemio,cf,70.34,broken clouds,5.0314,25.1361,OCHA Office
886,marsa matruh,eg,61.83,clear sky,31.3525,27.2453,Beau Site
887,qaqortoq,gl,28.89,broken clouds,60.7167,-46.0333,Siniffik Inn
888,betsiamites,ca,28.49,overcast clouds,48.9413,-68.646,Pourvoirie du lac des îles
889,greenwich,us,36.64,clear sky,41.0265,-73.6285,Delamar Greenwich Harbor
890,jamestown,sh,70.95,overcast clouds,-15.9387,-5.7168,Consulate
891,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
892,yoichi,jp,42.85,overcast clouds,43.2039,140.7703,Marumatta Farm 21
893,tasiilaq,gl,26.76,overcast clouds,65.6145,-37.6368,The Red House
894,butaritari,ki,81.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
895,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
896,cabedelo,br,79.47,light rain,-6.9811,-34.8339,Hotel Pigalle
897,kismayo,so,80.85,broken clouds,-0.3582,42.5454,Agan-Hotel
898,arraial do cabo,br,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
899,fairbanks,us,37.36,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
900,belmonte,br,77.41,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
903,batemans bay,au,67.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
904,kodiak,us,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
905,grand gaube,mu,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
906,rodrigues alves,br,79.0,broken clouds,-7.738,-72.6509,Pousada Aconchego
907,klaksvik,fo,31.12,overcast clouds,62.2266,-6.589,Airbnb rooms
908,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
909,kavaratti,in,82.58,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
910,bethel,us,35.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
911,namibe,ao,69.24,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
912,bandarbeyla,so,79.05,scattered clouds,9.4942,50.8122,JABIR HOTEL
914,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
915,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
916,vila franca do campo,pt,59.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
917,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
918,avarua,ck,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
919,vaini,to,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
920,cidreira,br,73.83,clear sky,-30.1811,-50.2056,Hotel Castelo
921,glace bay,ca,30.65,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
